V1,V10,V11,V12,V13,V14,V15,V16,V2,V3,V4,V5,V6,V7,V8,V9,class,prediction
57.0,5.0,0.0,164.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,249.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,391.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,790.0,1.0,0.0,0.0,0.0,0.0
49.0,5.0,0.0,357.0,1.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,154.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,91.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,528.0,1.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,273.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0
55.0,5.0,0.0,158.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1205.0,1.0,0.0,0.0,0.0,0.0
35.0,5.0,0.0,177.0,1.0,-1.0,0.0,0.0,3.0,1.0,1.0,0.0,12223.0,1.0,1.0,0.0,0.0,0.0
57.0,5.0,0.0,258.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,5935.0,1.0,1.0,0.0,0.0,0.0
31.0,5.0,0.0,172.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,25.0,1.0,1.0,0.0,0.0,0.0
54.0,5.0,0.0,154.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,282.0,1.0,1.0,0.0,0.0,0.0
55.0,5.0,0.0,291.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0
43.0,5.0,0.0,181.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1937.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,176.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,384.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,211.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,582.0,0.0,1.0,0.0,0.0,0.0
55.0,5.0,0.0,349.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0
49.0,5.0,0.0,272.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
55.0,5.0,0.0,208.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
45.0,5.0,0.0,193.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,206.0,1.0,0.0,0.0,0.0,0.0
47.0,5.0,0.0,212.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0
42.0,5.0,0.0,20.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,690.0,1.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,1042.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,2343.0,1.0,0.0,0.0,1.0,0.0
46.0,5.0,0.0,246.0,1.0,-1.0,0.0,0.0,8.0,0.0,0.0,0.0,137.0,1.0,1.0,0.0,0.0,0.0
51.0,5.0,0.0,529.0,2.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,173.0,1.0,0.0,0.0,0.0,0.0
56.0,5.0,0.0,1467.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0
41.0,5.0,0.0,1389.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1270.0,1.0,0.0,0.0,1.0,0.0
46.0,5.0,0.0,188.0,2.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0
57.0,5.0,0.0,180.0,2.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,486.0,1.0,0.0,0.0,0.0,0.0
42.0,5.0,0.0,48.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
30.0,5.0,0.0,213.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,152.0,1.0,1.0,0.0,0.0,0.0
60.0,5.0,0.0,583.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,290.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,221.0,1.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,173.0,1.0,-1.0,0.0,0.0,2.0,2.0,1.0,0.0,-37.0,0.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,426.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1.0,1.0,0.0,0.0,0.0
55.0,5.0,0.0,287.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,101.0,1.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,81.0,1.0,0.0,0.0,0.0,0.0
39.0,5.0,0.0,203.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46.0,5.0,0.0,197.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,257.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,-674.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,124.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
52.0,5.0,0.0,229.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,128.0,1.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,55.0,3.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,179.0,1.0,0.0,0.0,0.0,0.0
27.0,5.0,0.0,400.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,197.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0
47.0,5.0,0.0,190.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,151.0,1.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,21.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,61.0,0.0,1.0,0.0,0.0,0.0
59.0,5.0,0.0,514.0,1.0,-1.0,0.0,0.0,5.0,1.0,1.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0
45.0,5.0,0.0,849.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,1.0,0.0,0.0,0.0,0.0
29.0,5.0,0.0,194.0,1.0,-1.0,0.0,0.0,7.0,2.0,1.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0
46.0,5.0,0.0,144.0,1.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
56.0,5.0,0.0,212.0,2.0,-1.0,0.0,0.0,8.0,0.0,3.0,0.0,-34.0,1.0,1.0,0.0,0.0,0.0
36.0,5.0,0.0,286.0,1.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,448.0,1.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,107.0,1.0,-1.0,0.0,0.0,5.0,2.0,3.0,0.0,81.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,247.0,2.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,144.0,1.0,0.0,0.0,0.0,0.0
41.0,5.0,0.0,518.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,351.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,364.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,-67.0,1.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,178.0,1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,98.0,1.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,5.0,0.0,439.0,1.0,-1.0,0.0,0.0,1.0,2.0,2.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,79.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,120.0,3.0,-1.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
43.0,5.0,0.0,127.0,2.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,41.0,1.0,1.0,0.0,0.0,0.0
52.0,5.0,0.0,175.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
33.0,5.0,0.0,262.0,2.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,105.0,1.0,0.0,0.0,0.0,0.0
29.0,5.0,0.0,61.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,818.0,1.0,1.0,0.0,0.0,0.0
34.0,5.0,0.0,78.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,-16.0,1.0,1.0,0.0,0.0,0.0
31.0,5.0,0.0,143.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55.0,5.0,0.0,579.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,2476.0,1.0,0.0,0.0,1.0,0.0
55.0,5.0,0.0,677.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,345.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,217.0,1.0,0.0,0.0,0.0,0.0
38.0,5.0,0.0,185.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1685.0,1.0,0.0,0.0,0.0,0.0
55.0,5.0,0.0,100.0,2.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,802.0,1.0,1.0,0.0,0.0,0.0
28.0,5.0,0.0,125.0,2.0,-1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23.0,5.0,0.0,193.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,136.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43.0,5.0,0.0,73.0,1.0,-1.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,5.0,0.0,528.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,517.0,1.0,0.0,0.0,0.0,0.0
46.0,5.0,0.0,541.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,265.0,1.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,301.0,1.0,-1.0,0.0,0.0,8.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
57.0,5.0,0.0,46.0,1.0,-1.0,0.0,0.0,9.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0
37.0,5.0,0.0,204.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0
59.0,5.0,0.0,98.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,71.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0
56.0,5.0,0.0,157.0,2.0,-1.0,0.0,0.0,3.0,2.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
48.0,5.0,0.0,243.0,1.0,-1.0,0.0,0.0,9.0,0.0,1.0,0.0,293.0,1.0,0.0,0.0,0.0,0.0
43.0,5.0,0.0,186.0,2.0,-1.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,579.0,2.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,348.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,163.0,2.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,-19.0,1.0,0.0,0.0,0.0,0.0
26.0,5.0,0.0,610.0,2.0,-1.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40.0,5.0,0.0,2033.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,0.0
39.0,5.0,0.0,85.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0
50.0,5.0,0.0,114.0,2.0,-1.0,0.0,0.0,1.0,0.0,3.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0
41.0,5.0,0.0,114.0,2.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,57.0,1.0,-1.0,0.0,0.0,3.0,0.0,2.0,0.0,1883.0,1.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,238.0,1.0,-1.0,0.0,0.0,5.0,2.0,1.0,0.0,216.0,1.0,0.0,0.0,0.0,0.0
52.0,5.0,0.0,93.0,3.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,782.0,1.0,0.0,0.0,0.0,0.0
48.0,5.0,0.0,128.0,2.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,904.0,1.0,0.0,0.0,0.0,0.0
48.0,5.0,0.0,107.0,1.0,-1.0,0.0,0.0,7.0,0.0,2.0,0.0,1705.0,1.0,0.0,0.0,0.0,0.0
39.0,5.0,0.0,181.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0
47.0,5.0,0.0,303.0,2.0,-1.0,0.0,0.0,7.0,1.0,1.0,0.0,176.0,1.0,0.0,0.0,0.0,0.0
40.0,5.0,0.0,558.0,5.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,1225.0,1.0,0.0,0.0,0.0,0.0
45.0,5.0,0.0,270.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0
26.0,5.0,0.0,228.0,1.0,-1.0,0.0,0.0,6.0,1.0,1.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0
52.0,5.0,0.0,99.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,240.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1378.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,673.0,2.0,-1.0,0.0,0.0,6.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,1.0,0.0
50.0,5.0,0.0,233.0,3.0,-1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,5.0,0.0,1056.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44.0,5.0,0.0,250.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,1357.0,1.0,1.0,0.0,0.0,0.0
53.0,5.0,0.0,252.0,1.0,-1.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0
35.0,5.0,0.0,138.0,1.0,-1.0,0.0,0.0,5.0,1.0,3.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0
60.0,5.0,0.0,130.0,1.0,-1.0,0.0,0.0,6.0,2.0,1.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0
53.0,5.0,0.0,412.0,1.0,-1.0,0.0,0.0,6.0,2.0,1.0,0.0,1151.0,1.0,0.0,0.0,0.0,0.0
48.0,5.0,0.0,179.0,2.0,-1.0,0.0,0.0,9.0,0.0,1.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,19.0,2.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,458.0,2.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,214.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,717.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1161.0,1.0,0.0,0.0,0.0,0.0
31.0,5.0,0.0,313.0,1.0,-1.0,0.0,0.0,7.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0
35.0,5.0,0.0,683.0,2.0,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,787.0,1.0,0.0,0.0,0.0,0.0
35.0,5.0,0.0,1077.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0
38.0,5.0,0.0,416.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,253.0,1.0,0.0,0.0,0.0,0.0
36.0,5.0,0.0,146.0,2.0,-1.0,0.0,0.0,6.0,0.0,0.0,0.0,211.0,1.0,0.0,0.0,0.0,0.0
58.0,5.0,0.0,167.0,1.0,-1.0,0.0,0.0,5.0,0.0,3.0,0.0,235.0,1.0,0.0,0.0,0.0,0.0
40.0,5.0,0.0,315.0,1.0,-1.0,0.0,0.0,7.0,2.0,2.0,0.0,4384.0,1.0,0.0,0.0,0.0,0.0
54.0,5.0,0.0,140.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,4080.0,0.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,346.0,1.0,-1.0,0.0,0.0,3.0,1.0,1.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0
31.0,5.0,0.0,562.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51.0,5.0,0.0,172.0,1.0,-1.0,0.0,0.0,5.0,0.0,1.0,0.0,2127.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,217.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,1.0,0.0,0.0,0.0,0.0
55.0,5.0,0.0,142.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,0.0,0.0,0.0
42.0,5.0,0.0,67.0,1.0,-1.0,0.0,0.0,6.0,0.0,1.0,0.0,445.0,1.0,0.0,0.0,0.0,0.0
34.0,5.0,0.0,291.0,1.0,-1.0,0.0,0.0,3.0,0.0,1.0,0.0,243.0,1.0,0.0,0.0,0.0,0.0
33.0,5.0,0.0,309.0,2.0,-1.0,0.0,0.0,3.0,1.0,1.0,0.0,307.0,1.0,0.0,0.0,0.0,0.0
38.0,5.0,0.0,248.0,1.0,-1.0,0.0,0.0,7.0,0.0,1.0,0.0,155.0,1.0,0.0,0.0,0.0,0.0
50.0,5.0,0.0,98.0,1.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,173.0,0.0,1.0,0.0,0.0,0.0
43.0,5.0,0.0,256.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,1.0,0.0,0.0,0.0,0.0
61.0,5.0,0.0,82.0,2.0,-1.0,0.0,0.0,3.0,2.0,3.0,0.0,1428.0,1.0,0.0,0.0,0.0,0.0
