@relation synthetic_control

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.17764,-0.87944,0.16625,-1.183,-0.003074,-0.74995,-1.205,-0.40842,-0.30086,1.2578,1.4185,0.29767,-0.79042,-0.31768,-0.3191,1.2028,-0.043243,-1.3493,1.2767,1.2338,1.2284,0.34746,1.1882,-0.91171,0.61247,-0.92491,-0.077359,1.0407,1.2111,-1.3655,-1.215,0.30065,0.13674,-1.4162,1.2394,-1.4798,1.6129,0.67035,0.74706,0.74307,-1.0198,1.1346,0.91834,0.68355,-0.8605,0.039216,1.3699,-1.6013,0.1643,0.037486,-1.5162,0.10817,-1.0258,-1.1203,1.5936,-1.4108,0.21992,-1.5781,-0.33478,1.384,1
1.1496,1.9348,0.59897,1.4003,1.6302,1.7034,1.4528,1.074,1.8486,1.2056,0.23621,1.2283,0.84186,1.148,0.56243,0.57926,0.54989,0.63729,0.87415,1.1044,0.69097,0.5918,0.62829,0.23106,-0.30216,0.32708,-0.6106,-0.56614,-0.062304,0.74564,0.43695,-0.70734,0.039334,-0.81911,-1.1318,-1.1014,0.12,-0.94585,-0.1432,-1.1506,-0.51004,-0.0638,0.022866,-0.2253,-0.34361,-0.72006,-1.3466,-1.1238,-1.3106,-1.017,-0.7016,-0.87266,-0.49748,-0.6014,-1.2489,-2.0608,-1.3489,-1.7216,-1.4679,-0.87155,4
-1.4719,-0.91504,-1.3142,-1.576,-0.79351,-1.623,-0.16244,-0.40518,-0.044169,-1.271,-1.4779,-0.40431,-0.89051,-1.1197,-1.4908,-1.2085,-0.9654,-1.6519,-1.6055,-1.6843,-0.69643,-0.65749,-1.3893,-0.15369,-0.62166,-0.16774,0.68063,0.63271,0.054362,-0.10071,1.1994,1.2469,1.2266,-0.07258,1.0409,0.68948,0.81309,1.4997,0.57695,0.42936,0.078623,0.81133,1.4062,0.95352,0.50681,1.5827,0.96822,1.1452,0.51971,0.95904,1.0603,0.69958,0.98324,0.96117,0.55696,-0.18325,0.98373,0.79675,0.80123,0.25379,5
0.9173,0.070931,1.2787,0.56336,0.97839,1.127,1.1762,1.2,0.8734,1.0952,0.55256,0.049144,0.5449,1.1727,0.95783,0.19018,1.1772,0.15012,1.2306,0.80465,0.95527,0.59946,1.5267,0.96184,0.32585,1.4934,0.25514,0.78204,0.1896,0.081148,0.5867,0.76954,1.0996,1.2014,-1.2316,-1.0008,-1.5196,-1.763,-1.5077,-0.40635,-0.93041,-0.726,-0.97405,-1.3147,-0.80587,-0.69441,-1.0097,-0.72851,-1.4896,-0.44104,-0.65653,-1.2507,-1.2175,-1.3159,-0.9693,-1.5801,-0.54261,-0.50655,-1.148,-1.2074,6
-0.003029,0.47434,0.7471,1.005,1.5468,0.48129,0.24579,-1.0376,-0.56125,-1.9296,-1.3671,-1.2344,-0.35659,1.2118,1.4139,1.5426,0.80138,1.1276,-0.27712,-1.1527,-1.1371,-0.66372,-0.55577,-1.0087,0.14042,0.4246,1.4798,1.4966,1.5209,0.55611,0.44345,-0.7536,-1.3799,-1.5181,-0.59631,-0.12572,-0.18579,1.0255,0.665,1.1903,0.73498,0.18685,0.024769,-0.4551,-1.0141,-1.3259,-0.9559,-1.1665,0.12394,1.1557,0.5422,1.525,0.89572,0.63006,0.43294,0.20742,-1.3481,-1.3889,-1.2225,-1.2786,2
1.7981,2.0007,1.9256,1.337,1.7176,0.73717,0.97265,0.84447,1.5431,1.0628,1.2317,1.2481,0.39611,0.31275,0.51168,0.86178,0.74979,0.72967,0.64095,0.98434,0.62774,0.57495,-0.06942,0.034084,-0.096655,0.2066,0.55363,0.20484,-0.41762,-0.063476,-0.14031,-0.044692,0.31213,0.20733,0.18572,-0.26483,-0.63801,-0.008487,-0.18281,-0.64836,-0.044015,-1.1376,-0.33796,-0.89331,-0.88951,-1.3603,-1.5276,-0.3455,-1.5965,-1.3952,-1.5501,-1.291,-1.2623,-0.72099,-0.84047,-1.3579,-1.9305,-1.4217,-0.95659,-1.0797,4
-0.42582,-1.4638,-1.1761,-0.73184,-1.4997,-0.56853,-1.0222,-0.5376,-0.76609,-0.35574,-0.42315,-0.67236,-0.39241,-1.6605,-1.6173,-0.46001,-1.3167,-0.88574,-0.71862,-1.2678,-0.31052,-1.0427,-1.4184,-1.6842,-0.99986,-0.37726,-0.25538,-0.15518,-0.88802,-1.0989,1.0822,1.6853,0.28975,1.391,0.71355,0.97231,0.98374,1.6451,0.56024,1.0784,0.55243,0.3174,0.21166,1.44,0.39535,1.378,1.3585,0.77729,0.27392,0.7519,0.59913,0.22794,0.46226,0.33764,1.101,0.18815,1.6982,1.0614,1.2073,1.4516,5
-0.89269,-0.25781,0.12093,-1.0697,-1.3372,-1.1961,-1.3271,-0.63592,-0.10927,-0.46895,-1.2441,-1.1169,-0.49125,-0.33085,-1.0336,-1.1078,-0.61954,-0.41957,-0.13598,-0.20598,-0.92769,-0.97894,-0.20837,-1.098,-0.80969,-0.9706,-1.232,0.022308,-0.64415,-0.38858,-0.6153,-0.7455,-1.1337,-1.2662,-0.90055,-0.27513,1.2652,0.67495,0.5067,1.2746,1.5789,0.5948,1.5691,1.0135,0.81662,1.4261,1.4328,0.37455,1.8449,0.62038,1.2955,1.8457,1.5831,1.2905,1.6207,0.37726,0.41207,0.56722,1.3732,0.69318,5
1.6344,0.004351,0.26144,1.219,1.9743,1.1565,1.043,0.42886,1.1917,1.7858,0.17908,1.2688,-0.032568,0.15683,0.84268,1.4264,0.23682,-0.070021,0.21648,1.4832,0.60305,0.93006,1.9509,-0.05575,0.44556,1.5015,0.51542,0.27928,0.027479,0.58329,-1.5814,-0.27843,-0.69319,-1.3901,-0.26633,-1.4127,-1.5125,-1.1132,-0.97212,-0.35841,0.57828,-0.53539,-0.24664,-1.391,-0.94595,-0.68367,-0.78064,-0.17159,-0.1459,0.19849,-1.2044,0.32127,-1.4486,-1.0211,-1.5975,-1.1568,0.005291,-1.25,-1.1011,-1.0324,6
1.7274,1.566,1.3301,1.9724,1.2056,1.0945,1.3579,0.85627,0.3812,0.54022,0.424,1.0672,1.3087,0.15168,0.31171,0.1459,0.27386,0.013496,0.8909,0.53071,0.74689,0.082011,1.0181,0.60848,0.93342,0.6523,-0.24463,0.93271,0.31051,0.68702,0.779,-0.73935,-0.59861,0.30521,-0.52717,0.45506,0.095167,0.024026,-0.89353,-1.2178,0.11345,-0.17201,0.12707,-1.0467,-1.3991,-1.2803,-0.70986,-0.41232,-1.6186,-0.56249,-0.91598,-1.0042,-0.71211,-1.9627,-1.9239,-1.452,-1.2628,-1.5089,-1.8985,-0.95652,4
-0.78014,-1.4498,-1.343,-0.84916,-1.0307,-1.2258,-1.5715,-1.5277,-1.7072,-1.7223,-0.80154,-0.95714,-1.5649,-1.2168,-1.5792,-1.0904,-1.0749,-1.7507,-1.8034,-1.3401,0.52077,0.70897,0.76134,0.25446,1.1986,0.94466,1.2068,0.35446,0.3233,1.0008,0.91821,0.89991,0.5404,0.1685,0.48041,0.73243,0.65895,0.48125,0.13763,0.22835,0.25171,0.53967,1.1977,0.10658,1.0742,1.1809,0.67729,0.9486,0.59123,0.29766,1.2351,0.58983,1.0977,0.72372,0.31825,0.92794,0.94768,0.43546,0.13615,0.58878,5
1.0041,0.59384,1.1965,1.1818,1.7091,1.6491,1.4237,0.16813,0.42999,0.59984,1.5444,0.076171,0.01887,1.5467,0.88624,0.78918,0.6771,1.5248,1.388,1.4483,0.40175,0.62901,0.85375,0.33672,0.24618,-0.43193,-0.41025,-0.46543,0.88389,0.84773,-0.10558,-0.80493,0.36076,0.77582,-0.60334,-0.95159,0.11215,-0.28123,-1.1121,-0.52972,-0.81605,-0.91471,-0.56019,-0.86755,-1.2933,-0.63392,0.096484,-1.582,-1.5651,-0.47701,-0.99433,0.004125,-0.088188,-1.0453,-1.9511,-1.0509,-1.926,-1.4107,-1.1376,-1.394,4
2.2131,1.8509,1.4757,0.8494,0.71204,0.91481,1.2019,2.262,1.6478,0.12795,0.001624,1.9853,0.50263,0.19791,-0.39283,1.1962,-0.2591,0.86148,-0.25119,0.29308,0.59219,-0.47561,1.3392,-0.78885,1.2109,-0.52762,0.076515,0.16993,-0.50592,-0.67246,0.43666,-0.52281,0.031596,-1.1979,-0.093421,-0.74532,-0.44395,-0.40066,-0.26491,-0.59923,0.59234,0.63871,-0.77271,-1.7355,-1.0281,-0.062515,-1.2306,-1.7804,-0.30394,-0.065178,-0.29931,-0.82671,-0.36083,-0.10908,-0.08893,-2.2778,-1.2496,-1.5443,-0.41056,-1.0939,4
0.30136,0.30305,1.3008,1.7321,1.2116,0.90977,-0.81495,-0.32552,-1.8865,-1.8058,-0.92821,-0.75125,0.19231,1.0612,1.4798,1.3738,0.74616,0.33141,-0.90624,-1.0016,-1.2378,-0.7437,-0.67967,-0.78873,0.79841,0.56043,0.7185,0.88961,0.66761,0.25345,-0.96954,-0.81676,-0.81076,-0.73626,-0.66855,-0.14484,1.1655,1.6709,1.4155,1.4967,0.45369,0.2349,-0.71222,-1.9631,-1.13,-0.5911,-0.079031,0.56703,0.7232,0.60707,1.609,0.87155,-0.52857,-0.55968,-1.7392,-0.93783,-1.3915,-0.38404,0.15,0.2369,2
-0.14288,-1.134,-1.5697,-1.0578,-1.1213,-1.5124,-0.23528,-0.55145,-0.80214,-1.4714,-0.96806,-1.4856,-2.2137,-0.75912,-1.0465,-1.6323,-0.46877,-1.6137,-1.4277,-0.31575,-0.87407,-1.2983,1.4926,1.0366,1.4131,1.7325,-0.092592,0.83133,1.381,-0.059325,0.52193,0.70422,1.4305,1.6825,0.094004,0.033062,0.49201,0.34141,0.81716,0.26743,-0.27576,1.1301,1.5433,-0.25623,0.80492,1.2815,0.48685,0.099688,0.11536,0.096409,0.43187,0.78932,1.0839,0.55115,-0.20218,0.95043,0.089868,0.34269,0.048439,0.4708,5
-0.49152,-1.419,-1.0718,-1.0992,-1.0971,-0.201,-0.15724,-0.40528,-1.2723,-1.7452,-0.2677,-1.7861,-1.4526,-0.16475,0.082201,-0.30344,-1.1455,-1.4911,-0.23947,-1.7136,-1.2384,-0.5698,-1.894,-0.70461,-1.1329,-1.0639,1.7461,0.42433,0.7243,0.64199,0.32816,0.45631,0.45159,0.20418,0.15989,-0.058817,0.23785,1.486,-0.18391,1.7753,0.83404,0.43364,0.9513,1.7548,0.90551,1.5202,0.40691,0.84886,0.78555,1.4467,1.1856,1.1854,-0.065235,0.21253,0.72105,0.13328,0.1057,1.4326,0.79999,0.053708,5
-2.069,-1.3673,-1.8187,-1.5615,-1.2188,-1.7311,-1.2157,-1.2574,-0.95044,-0.37272,-0.63179,-0.68531,-0.73301,-1.2471,-0.58624,-0.74995,-0.53713,-1.0873,-0.13104,-0.95574,-0.45371,-0.45149,0.20036,-0.46467,-0.03744,-0.82436,-0.73418,0.12409,0.4849,-0.15318,-0.45262,0.34426,-0.29876,0.13105,0.18209,0.12348,-0.22993,0.48557,1.1577,0.12064,0.20535,1.2545,0.0837,0.16661,1.3787,1.0588,1.2185,1.2224,1.4986,1.326,0.70527,0.82486,1.0416,1.8944,1.2693,0.86222,1.0791,1.4988,1.53,1.5349,3
0.55451,1.3045,2.0334,0.56595,0.77744,0.20721,2.013,1.68,0.31967,1.8006,1.0955,0.068124,0.80975,1.6044,0.12042,0.99935,1.3726,-0.11628,0.19811,0.60221,-0.28046,0.70806,0.61523,0.68597,0.72967,0.95562,-0.00425,-0.6928,0.50242,-0.91603,0.26314,-0.15805,-0.23338,0.70264,-0.50335,-0.44518,0.13491,-0.98195,0.13891,0.4259,-0.17169,0.33842,0.016721,-0.91321,-1.7488,-1.8126,-1.1577,-1.3746,-0.86871,-0.66569,-1.9925,-0.8876,-1.167,-0.91952,-0.57228,-0.74187,-0.75869,-1.2413,-2.1923,-0.82678,4
-0.51242,0.76605,0.73994,1.6467,1.33,0.39217,0.020845,-1.1488,-0.97849,-0.57963,-0.90979,0.57567,1.3919,1.732,0.60361,0.73695,0.058303,-1.2497,-1.0725,-1.2584,-0.65429,-0.35867,-0.12206,1.0295,1.1902,1.6798,0.38899,-0.48537,-1.2865,-1.0065,-1.3591,-0.74216,0.26023,0.75662,1.3231,0.9667,1.1797,0.10408,-1.0048,-1.1587,-1.8188,-0.93431,-0.004238,0.44157,0.3304,0.519,0.73336,0.42922,-0.31161,-1.357,-1.584,-1.9937,-0.42041,-0.63345,0.27621,1.5785,1.5307,0.56684,0.49851,-0.83185,2
-1.6843,-0.72575,-1.2124,-0.90825,-1.5362,-1.4087,-0.96395,-0.80545,-0.6307,-1.4388,-1.5133,-0.79478,-1.5852,-1.4102,-1.5932,-1.4815,-1.719,-1.506,-1.6765,-1.1316,-1.1335,1.0066,0.17528,0.79324,0.86018,1.0676,1.0614,0.85985,1.0913,0.76802,0.1189,0.18867,1.0628,0.58732,0.8346,0.49695,0.3463,0.29177,0.21442,0.39955,0.64397,0.4847,0.77219,0.83678,0.64383,1.1251,0.80918,0.81785,0.12575,0.89943,0.83752,0.84182,0.83759,0.78078,0.74015,1.1036,1.0135,0.25941,0.21626,0.84511,5
0.32493,0.92102,0.67606,1.5671,0.62195,0.23225,0.69997,-0.2908,-1.0615,-1.1291,-1.6977,-0.76359,-0.5518,-0.30985,-0.037397,1.2947,1.5693,1.3774,0.35629,0.32241,-0.96378,-0.85549,-0.86354,-0.91827,-1.241,-1.4413,-0.48574,0.66047,1.3101,0.94945,1.1915,1.1004,0.28067,-0.85124,-1.1074,-1.1779,-1.3085,-1.2972,-0.45435,-0.57608,0.32714,0.6989,1.2205,1.5393,1.27,0.37443,0.07583,-0.45566,-1.5812,-1.8445,-0.89692,-1.6117,0.049964,-0.20141,0.96575,1.5515,1.3412,0.54099,0.48813,0.075192,2
-0.065995,0.69639,1.0873,0.74289,1.5241,1.0712,-0.075838,0.30292,-1.0273,-1.6426,-1.7257,-1.0417,-1.2836,-0.78689,-0.032164,0.23569,1.5935,1.5573,1.2142,0.60759,0.61029,-0.9801,-1.4369,-1.7605,-0.90711,-1.1646,-0.68704,0.42262,0.42538,0.75776,0.95152,1.3218,0.49802,0.24428,0.46861,-0.36222,-1.3388,-0.83041,-1.1124,-0.82087,-0.71028,0.33921,0.88306,0.65346,1.2692,1.4197,0.18545,0.55078,-0.016937,-1.3947,-1.3085,-1.8299,-1.0158,-0.31338,0.1293,-0.06578,1.3115,1.4043,0.77496,0.48349,2
1.4336,0.90713,1.6732,1.5337,1.5619,1.6123,1.9187,0.78437,0.61135,1.3102,1.116,1.3959,0.97527,1.6989,1.2327,0.99094,1.4561,0.65942,1.0508,1.2388,0.75568,-1.2328,-0.92696,-0.1398,-1.026,-0.8457,-0.54229,0.061462,-1.2118,-0.018697,-0.91622,-0.40821,-0.23166,-1.0379,-1.0338,-1.291,-0.53136,-1.2832,0.15501,-0.26918,-0.75658,-0.53776,-1.1064,0.031344,-0.013707,-0.7474,-0.43598,-0.93152,-0.79373,-0.80584,-0.77162,-0.72843,-0.96607,-0.16964,-1.339,-0.6606,-0.44019,-0.39902,-0.32863,-1.2861,6
-1.1177,-1.0547,-0.95811,-0.77915,-0.34834,-0.69727,-0.74279,-0.81164,-0.51048,-0.71059,-1.1408,-0.57472,-0.77401,-0.91671,-0.87672,-0.66259,-0.39301,-1.0202,-0.93097,-0.73813,-1.2264,-0.40739,-0.37963,-0.90025,-1.1816,-0.92861,-0.60273,-1.0379,-0.62729,-0.79409,-0.36208,-1.0205,-0.52321,-0.61693,-0.61827,-0.53399,-0.45767,1.3869,1.4506,1.6251,1.1428,0.78327,1.3614,0.99217,1.2983,1.5618,1.4713,1.3378,0.75458,1.0846,0.72439,0.98847,1.1589,1.6422,1.1474,1.2274,1.3956,1.2673,0.91726,1.2578,5
0.46612,1.0797,1.2105,1.4859,0.91001,1.7293,0.25033,-0.48895,0.14869,-1.7172,-1.9512,-0.82994,-1.2116,-1.0021,0.20986,1.0668,0.4301,1.1003,1.4794,0.44945,1.1434,0.37137,-0.55458,-1.3906,-1.8115,-1.4827,-0.88906,-0.55828,-0.75758,-0.10507,1.4867,0.71643,1.3489,1.4467,0.2806,-0.57673,-0.59907,-0.75532,-1.404,-1.0899,-1.834,-0.45307,0.036471,-0.25115,0.63935,1.1825,0.97862,0.50261,0.30283,0.62635,-0.40187,-0.21925,-1.2589,-0.63715,-0.82976,-0.51264,-0.20248,0.62178,0.86327,1.2114,2
-1.6123,0.78578,1.0627,0.8877,0.08505,-0.31557,-1.1783,-1.5341,-1.5789,0.86224,1.0777,1.0364,-0.4731,0.28581,1.214,-1.4915,-1.5763,0.070471,0.48845,-1.5894,-1.2809,0.1486,0.9448,0.45754,1.6015,0.83457,1.3757,0.94353,-0.44049,0.95236,0.094769,-0.54619,-1.1099,0.5648,0.1509,1.4943,-0.78085,-0.52961,1.2496,-0.72375,-0.42483,0.50263,0.005838,-1.0223,1.475,-0.94492,-0.96465,-1.2504,0.59515,0.35273,1.0268,-1.2179,-0.79036,0.41143,1.2984,-0.32302,-1.517,1.4432,0.46081,-1.0245,1
-1.2604,1.4665,-0.54798,-1.684,0.99051,0.21297,0.72774,-0.033511,-1.1113,0.21877,-0.49562,0.79173,0.9629,-1.0224,-0.83206,1.3627,-1.6457,-0.57212,0.047401,-1.6992,0.026812,-0.1026,-0.051741,1.4582,-1.6634,-0.68555,-1.0295,1.5177,-0.12666,0.25984,0.78551,-1.7015,1.0598,0.78307,0.87722,1.3923,0.015907,0.96373,0.66559,-0.10443,0.96903,-1.556,1.2908,-0.1614,-0.78813,-1.0841,-0.71793,-0.80037,-0.28438,-0.90584,1.3267,-0.89452,0.64042,1.5469,0.23192,1.24,1.5273,-1.1193,-0.58924,-0.088951,1
-0.42878,-1.2238,-0.35856,-0.95696,-0.97801,-0.27098,-0.43859,-1.3052,-0.34857,0.010107,-0.73434,-0.76312,-0.61808,-0.001596,-0.96713,-0.90401,-1.1743,-0.35136,-0.056868,-0.077603,-1.2797,0.042066,-0.59966,-0.16175,-0.70249,-0.86232,-0.15717,-0.92664,-1.0033,-0.68253,-1.0815,-0.57224,-0.93996,-1.3102,-1.0973,-0.63943,-1.2144,-0.81124,1.2714,1.6898,1.0544,1.0684,1.8893,0.74716,1.8209,1.5331,1.0572,1.6698,0.62878,1.3937,1.1625,1.5713,1.0321,1.7944,0.56159,0.71854,1.4788,0.51673,0.55678,0.73092,5
